Phrase;Emotions;;;;;"Engagement Client";;;;;;;Languages;;
;Colère;Dégoût;Peur;Joie;Tristesse;Excité;Frustré;Impoli;Poli;Triste;Satisfait;Compatissant;Analytique;Confiant;Hésitant
"c'est impossible madame";0.573799;'-;'-;'-;'-;'-;0.584532;'-;'-;0.913231;'-;'-;0.972852;0.942582;'-
"excusez moi pour l 'attente";0.536879;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;0.882284;'-;'-
"excusez moi";'-;'-;'-;'-;0.9;'-;'-;'-;1;'-;'-;'-;'-;'-;'-
"je ne peux pas vous aider";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je ne peux pas";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"votre rendez vous et confirmé";'-;'-;'-;0.547619;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"votre message est  bien noté";'-;'-;'-;0.50258;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"nom c'est impossible";0.505288;'-;'-;'-;'-;'-;0.545531;'-;'-;0.838775;'-;'-;0.972852;0.942582;'-
non;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"pas de soucis";'-;'-;'-;0.707865;'-;'-;'-;'-;0.577975;'-;'-;'-;'-;'-;'-
"excusez moi pour l'attente madame";0.598102;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;0.873512;0.882284;'-;'-
"quitter pas";'-;'-;'-;'-;'-;'-;'-;'-;'-;0.715451;'-;'-;'-;'-;'-
"un petit instant, je vous reprends";'-;'-;'-;0.660579;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"pas de soucis";'-;'-;'-;0.707865;'-;'-;'-;'-;0.577975;'-;'-;'-;'-;'-;'-
"je vous fais patienté";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je ne comprend pas votre demande";'-;'-;'-;'-;0.574485;'-;'-;'-;'-;0.522513;'-;'-;'-;'-;'-
